NAME,Total,Male (total):,Male: Under 5 years,Male: 5 to 9 years,Male: 10 to 14 years,Male: 15 to 17 years,Male: 18 and 19 years,Male: 20 years,Male: 21 years,Male: 22 to 24 years,Male: 25 to 29 years,Male: 30 to 34 years,Male: 35 to 39 years,Male: 40 to 44 years,Male: 45 to 49 years,Male: 50 to 54 years,Male: 55 to 59 years,Male: 60 and 61 years,Male: 62 to 64 years,Male: 65 and 66 years,Male: 67 to 69 years,Male: 70 to 74 years,Male: 75 to 79 years,Male: 80 to 84 years,Male: 85 years and over,Female (total):,Female: Under 5 years,Female: 5 to 9 years,Female: 10 to 14 years,Female: 15 to 17 years,Female: 18 and 19 years,Female: 20 years,Female: 21 years,Female: 22 to 24 years,Female: 25 to 29 years,Female: 30 to 34 years,Female: 35 to 39 years,Female: 40 to 44 years,Female: 45 to 49 years,Female: 50 to 54 years,Female: 55 to 59 years,Female: 60 and 61 years,Female: 62 to 64 years,Female: 65 and 66 years,Female: 67 to 69 years,Female: 70 to 74 years,Female: 75 to 79 years,Female: 80 to 84 years,Female: 85 years and over
1,2246.0,1160.0,39.0,76.0,214.0,109.0,178.0,11.0,0.0,30.0,76.0,21.0,46.0,25.0,39.0,75.0,56.0,4.0,43.0,34.0,16.0,47.0,1.0,12.0,8.0,1086.0,19.0,43.0,63.0,11.0,75.0,32.0,0.0,23.0,111.0,0.0,200.0,51.0,83.0,75.0,40.0,37.0,78.0,26.0,20.0,53.0,10.0,11.0,25.0
2,4009.0,1506.0,120.0,37.0,149.0,65.0,0.0,57.0,56.0,63.0,226.0,120.0,121.0,49.0,110.0,129.0,62.0,0.0,41.0,0.0,21.0,34.0,31.0,15.0,0.0,2503.0,378.0,244.0,345.0,39.0,28.0,0.0,0.0,294.0,179.0,244.0,20.0,52.0,161.0,226.0,58.0,38.0,38.0,11.0,23.0,23.0,102.0,0.0,0.0
3.01,2612.0,1300.0,65.0,32.0,100.0,101.0,14.0,12.0,0.0,68.0,168.0,33.0,105.0,100.0,46.0,61.0,143.0,76.0,56.0,22.0,31.0,34.0,17.0,16.0,0.0,1312.0,118.0,51.0,121.0,0.0,95.0,0.0,7.0,71.0,166.0,64.0,122.0,80.0,19.0,76.0,65.0,19.0,41.0,12.0,74.0,19.0,41.0,43.0,8.0
3.02,2834.0,1227.0,137.0,208.0,42.0,180.0,16.0,10.0,13.0,22.0,66.0,81.0,63.0,58.0,28.0,48.0,57.0,10.0,27.0,48.0,1.0,80.0,23.0,0.0,9.0,1607.0,232.0,28.0,63.0,58.0,43.0,0.0,90.0,84.0,34.0,170.0,105.0,35.0,114.0,23.0,142.0,10.0,58.0,68.0,61.0,39.0,46.0,12.0,92.0
4,2464.0,955.0,36.0,156.0,157.0,46.0,39.0,0.0,12.0,15.0,86.0,62.0,96.0,31.0,62.0,10.0,42.0,55.0,8.0,8.0,0.0,0.0,33.0,0.0,1.0,1509.0,96.0,86.0,194.0,141.0,36.0,0.0,10.0,29.0,106.0,112.0,93.0,22.0,141.0,110.0,83.0,44.0,9.0,10.0,48.0,84.0,14.0,21.0,20.0
5,1731.0,799.0,103.0,33.0,154.0,26.0,0.0,0.0,0.0,15.0,19.0,53.0,94.0,21.0,49.0,49.0,57.0,5.0,39.0,7.0,17.0,8.0,42.0,0.0,8.0,932.0,8.0,88.0,118.0,33.0,0.0,0.0,0.0,0.0,125.0,60.0,102.0,56.0,72.0,29.0,55.0,0.0,97.0,0.0,8.0,27.0,33.0,5.0,16.0
6,1969.0,812.0,79.0,81.0,66.0,59.0,14.0,7.0,9.0,36.0,73.0,99.0,29.0,91.0,3.0,14.0,57.0,37.0,3.0,7.0,9.0,23.0,8.0,8.0,0.0,1157.0,78.0,123.0,65.0,76.0,71.0,10.0,0.0,46.0,88.0,122.0,70.0,106.0,42.0,90.0,40.0,6.0,34.0,4.0,43.0,8.0,18.0,0.0,17.0
7,1970.0,1062.0,47.0,95.0,49.0,6.0,0.0,29.0,0.0,56.0,27.0,93.0,112.0,81.0,35.0,52.0,139.0,11.0,29.0,26.0,116.0,38.0,11.0,4.0,6.0,908.0,90.0,91.0,54.0,12.0,6.0,0.0,8.0,7.0,79.0,30.0,102.0,34.0,13.0,77.0,60.0,30.0,19.0,26.0,97.0,52.0,10.0,11.0,0.0
8,1555.0,793.0,37.0,56.0,19.0,44.0,17.0,0.0,23.0,13.0,72.0,69.0,26.0,45.0,30.0,71.0,90.0,29.0,26.0,33.0,10.0,37.0,12.0,13.0,21.0,762.0,49.0,30.0,40.0,17.0,115.0,0.0,0.0,0.0,69.0,21.0,35.0,44.0,7.0,96.0,38.0,40.0,22.0,4.0,41.0,55.0,12.0,20.0,7.0
9,1304.0,712.0,30.0,1.0,34.0,22.0,0.0,0.0,54.0,34.0,73.0,120.0,59.0,15.0,32.0,34.0,19.0,34.0,0.0,30.0,99.0,0.0,0.0,22.0,0.0,592.0,4.0,10.0,16.0,24.0,16.0,0.0,0.0,42.0,103.0,100.0,53.0,22.0,26.0,7.0,41.0,8.0,16.0,60.0,7.0,11.0,8.0,4.0,14.0
10,3925.0,1942.0,86.0,65.0,136.0,23.0,93.0,14.0,260.0,397.0,133.0,95.0,118.0,77.0,54.0,47.0,46.0,25.0,36.0,149.0,43.0,44.0,0.0,1.0,0.0,1983.0,120.0,60.0,11.0,43.0,17.0,0.0,139.0,239.0,448.0,137.0,50.0,92.0,42.0,19.0,59.0,14.0,86.0,77.0,163.0,29.0,29.0,20.0,89.0
11,4232.0,2152.0,255.0,314.0,0.0,183.0,12.0,45.0,12.0,168.0,132.0,83.0,151.0,31.0,139.0,127.0,66.0,48.0,53.0,66.0,60.0,100.0,58.0,23.0,26.0,2080.0,302.0,60.0,205.0,71.0,13.0,35.0,35.0,25.0,265.0,68.0,116.0,195.0,161.0,63.0,88.0,12.0,83.0,69.0,100.0,63.0,17.0,24.0,10.0
12,2166.0,1010.0,91.0,108.0,24.0,12.0,30.0,14.0,0.0,8.0,111.0,65.0,120.0,65.0,58.0,27.0,31.0,32.0,58.0,14.0,43.0,45.0,31.0,17.0,6.0,1156.0,98.0,96.0,20.0,32.0,0.0,0.0,9.0,29.0,55.0,99.0,104.0,79.0,46.0,35.0,73.0,20.0,34.0,94.0,60.0,72.0,58.0,32.0,11.0
13,2058.0,1040.0,0.0,34.0,34.0,76.0,0.0,0.0,28.0,127.0,44.0,60.0,74.0,53.0,13.0,111.0,110.0,36.0,42.0,66.0,19.0,53.0,28.0,0.0,32.0,1018.0,0.0,16.0,16.0,0.0,26.0,12.0,12.0,133.0,95.0,0.0,97.0,146.0,32.0,95.0,36.0,21.0,45.0,28.0,71.0,49.0,8.0,19.0,61.0
14,3507.0,1494.0,196.0,59.0,113.0,29.0,25.0,27.0,0.0,103.0,49.0,143.0,135.0,106.0,100.0,39.0,101.0,13.0,126.0,24.0,57.0,31.0,0.0,0.0,18.0,2013.0,68.0,83.0,116.0,86.0,64.0,0.0,15.0,97.0,110.0,408.0,207.0,111.0,120.0,59.0,137.0,78.0,54.0,13.0,56.0,41.0,61.0,14.0,15.0
15,3243.0,1585.0,161.0,105.0,27.0,87.0,56.0,3.0,36.0,88.0,149.0,135.0,101.0,76.0,20.0,196.0,79.0,51.0,39.0,16.0,22.0,44.0,29.0,7.0,58.0,1658.0,49.0,34.0,95.0,163.0,135.0,74.0,35.0,68.0,95.0,92.0,223.0,79.0,107.0,106.0,38.0,36.0,44.0,27.0,0.0,49.0,70.0,17.0,22.0
16,2637.0,1383.0,64.0,75.0,110.0,57.0,11.0,7.0,15.0,25.0,43.0,101.0,66.0,48.0,77.0,90.0,60.0,174.0,157.0,6.0,55.0,77.0,28.0,23.0,14.0,1254.0,54.0,65.0,71.0,103.0,40.0,7.0,2.0,22.0,76.0,88.0,64.0,49.0,62.0,85.0,109.0,44.0,23.0,30.0,49.0,60.0,46.0,38.0,67.0
17,1232.0,514.0,20.0,0.0,0.0,0.0,0.0,6.0,4.0,18.0,27.0,91.0,48.0,58.0,11.0,30.0,20.0,16.0,39.0,11.0,23.0,75.0,17.0,0.0,0.0,718.0,3.0,23.0,0.0,0.0,17.0,14.0,0.0,64.0,34.0,84.0,41.0,26.0,63.0,32.0,98.0,13.0,31.0,11.0,13.0,84.0,54.0,5.0,8.0
